"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"FPC_64";1;"FPC-FFC-64";;;
2;"U1";"MC68000-SOCKET-RELOCATOR_FEMALE";1;"MC68000";;;
3;"J1";"PinHeader_1x04_P2.54mm_Horizontal";1;"Conn_01x04";;;
4;"H1,H2,H3,H4";"MountingHole_3.2mm_M3";4;"MountingHole";;;
5;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED_Small";;;
6;"R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1K";;;
7;"L1";"Symbol_GNU-GPL_SilkScreen_Small";1;"GNU GPL LOGO";;;
8;"L2";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad LOGO Design";;;
9;"L3";"PiStorm_32x6-NEG";1;"PiStorm LOGO Design";;;
10;"C1,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100nF";;;
11;"C3,C4";"CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder";2;"10uF";;;
